target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_ELBOW,densenet121,zero-shot,0,0,0.7867345050878816,0.7782608695652173,0.548936170212766,
XR_ELBOW,densenet121,vanilla_ft,50,avg,0.8321554116558744,0.610144927536232,0.902127659574468,0.020244548256788134
XR_ELBOW,densenet121,ft_source_reg,50,avg,0.8297286463151403,0.6144927536231884,0.9078014184397163,0.020609602338819068
XR_ELBOW,densenet121,mkmmd,50,avg,0.8176133209990749,0.6855072463768116,0.7999999999999999,0.01628578973267326
XR_ELBOW,densenet121,coral,50,avg,0.8085599753314833,0.7173913043478262,0.7602836879432625,0.03266579337324519
XR_ELBOW,densenet121,cc_dann,50,avg,0.8182207832254086,0.744927536231884,0.7049645390070922,0.004696792233542144
XR_ELBOW,densenet121,vanilla_ft,100,avg,0.827977181621955,0.6942028985507246,0.8156028368794326,0.010223757345014517
XR_ELBOW,densenet121,ft_source_reg,100,avg,0.8371446191797718,0.6753623188405796,0.8609929078014185,0.003795087658595513
XR_ELBOW,densenet121,mkmmd,100,avg,0.8077304964539008,0.7681159420289855,0.6382978723404257,0.005734168409517109
XR_ELBOW,densenet121,coral,100,avg,0.8182146160962073,0.744927536231884,0.7290780141843971,0.011655362699181427
XR_ELBOW,densenet121,cc_dann,100,avg,0.8019457292630281,0.6884057971014492,0.7375886524822696,0.022979962672498903
XR_ELBOW,densenet121,vanilla_ft,200,avg,0.84122725871107,0.6246376811594203,0.8936170212765956,0.003683080090009993
XR_ELBOW,densenet121,ft_source_reg,200,avg,0.84300030835646,0.6739130434782609,0.8666666666666667,0.022970536761898936
XR_ELBOW,densenet121,mkmmd,200,avg,0.8114893617021277,0.7173913043478262,0.7276595744680852,0.00575400590687564
XR_ELBOW,densenet121,coral,200,avg,0.8219087264878199,0.744927536231884,0.7191489361702127,0.0019086691994110675
XR_ELBOW,densenet121,cc_dann,200,avg,0.7801079247610238,0.7768115942028985,0.6567375886524823,0.016143660196681793
XR_ELBOW,densenet121,vanilla_ft,500,avg,0.8782639531298181,0.7130434782608696,0.9035460992907801,0.0032233620398383843
XR_ELBOW,densenet121,ft_source_reg,500,avg,0.8671384520505704,0.7014492753623189,0.8950354609929079,0.009905603682660578
