predictor,target,spearman_r,p_value,n
dist_ratio,zero_shot_auc,-0.6491228070175438,0.003558373943300947,18
temperature,zero_shot_auc,-0.7936016511867906,8.465997360412614e-05,18
gap_ratio,zero_shot_auc,0.7647058823529412,0.00021879309769392644,18
composite_equal,zero_shot_auc,-0.45098039215686275,0.06032623578568477,18
composite_varwt,zero_shot_auc,-0.45098039215686275,0.06032623578568477,18
dist_ratio,da_gain,0.21666666666666667,0.5755148957119259,9
temperature,da_gain,0.7166666666666667,0.02981803569584528,9
gap_ratio,da_gain,-0.45,0.22421610749233675,9
composite_equal,da_gain,0.7166666666666667,0.02981803569584528,9
composite_varwt,da_gain,0.7166666666666667,0.02981803569584528,9
