n_samples,method,spearman_r,p_value,n
50,vanilla_ft,-0.7666666666666667,0.01594401657897403,9
50,ft_source_reg,-0.7333333333333334,0.024554150071469705,9
50,mkmmd,-0.75,0.019942126131992536,9
50,coral,-0.8499999999999999,0.0037047773275858125,9
50,cc_dann,-0.7999999999999999,0.009627924725379839,9
100,vanilla_ft,-0.6166666666666666,0.07692880993776312,9
100,ft_source_reg,-0.6833333333333333,0.04244227208707231,9
100,mkmmd,-0.7,0.03576957497026173,9
100,coral,-0.7999999999999999,0.009627924725379839,9
100,cc_dann,-0.7999999999999999,0.009627924725379839,9
200,vanilla_ft,-0.9166666666666666,0.0005066190663052083,9
200,ft_source_reg,-0.8166666666666667,0.0072247852463587885,9
200,mkmmd,-0.7333333333333334,0.024554150071469705,9
200,coral,-0.8499999999999999,0.0037047773275858125,9
200,cc_dann,-0.7999999999999999,0.009627924725379839,9
500,vanilla_ft,-0.7999999999999999,0.009627924725379839,9
500,ft_source_reg,-0.7833333333333333,0.012519873019449885,9
500,mkmmd,-0.7333333333333334,0.024554150071469705,9
500,coral,-0.8499999999999999,0.0037047773275858125,9
500,cc_dann,-0.7,0.03576957497026173,9
