target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_ELBOW,zero-shot,0,0,0.7867345050878816,0.7782608695652173,0.548936170212766,
XR_ELBOW,fine-tune,50,avg,0.8321554116558744,0.610144927536232,0.902127659574468,0.020244548256788134
XR_ELBOW,DANN,50,avg,0.8303823620104843,0.7724637681159421,0.7049645390070922,0.008966864828058547
XR_ELBOW,MMD,50,avg,0.8045081714461918,0.7115942028985508,0.7390070921985816,0.01954420701093014
XR_ELBOW,fine-tune,100,avg,0.8203792784458835,0.6971014492753623,0.7914893617021276,0.0088340687002927
XR_ELBOW,DANN,100,avg,0.8145760098674067,0.744927536231884,0.7319148936170213,0.016953760661394496
XR_ELBOW,MMD,100,avg,0.8232870798643231,0.7086956521739131,0.7475177304964539,0.007364994479313863
XR_ELBOW,fine-tune,200,avg,0.8388159111933394,0.6753623188405798,0.8680851063829788,0.004588872528833169
XR_ELBOW,DANN,200,avg,0.7832531606537158,0.7246376811594203,0.676595744680851,0.022855768550642544
XR_ELBOW,MMD,200,avg,0.8198458217699661,0.7811594202898551,0.6425531914893617,0.009719412252224467
XR_ELBOW,fine-tune,500,avg,0.8776164045636756,0.7115942028985507,0.900709219858156,0.0034474390140702867
XR_ELBOW,DANN,500,avg,0.814381745297564,0.6449275362318841,0.8453900709219858,0.005050355448772019
XR_ELBOW,MMD,500,avg,0.8178569226025285,0.6884057971014492,0.8170212765957446,0.006191390760257095
