target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_ELBOW,zero-shot,0,0,0.8397594819611471,0.8565217391304348,0.5319148936170213,
XR_ELBOW,fine-tune,50,avg,0.8238544557508479,0.6115942028985507,0.9163120567375888,0.009239772564474738
XR_ELBOW,DANN,50,avg,0.7780789392537774,0.5855072463768116,0.8113475177304964,0.018354241145054632
XR_ELBOW,MMD,50,avg,0.8332377428307122,0.7927536231884057,0.69645390070922,0.007340867068764842
XR_ELBOW,fine-tune,100,avg,0.8455689176688251,0.6275362318840579,0.9205673758865248,0.005333124596741892
XR_ELBOW,DANN,100,avg,0.673777366635831,0.8521739130434782,0.35319148936170214,0.13502411592499752
XR_ELBOW,MMD,100,avg,0.8271199506629664,0.7971014492753623,0.6156028368794326,0.009718825262546641
XR_ELBOW,fine-tune,200,avg,0.8544249152019736,0.6782608695652174,0.8822695035460993,0.007926991194993625
XR_ELBOW,DANN,200,avg,0.5816651248843663,0.9985507246376812,0.0070921985815602835,0.10011965429932758
XR_ELBOW,MMD,200,avg,0.8248781991982733,0.7623188405797102,0.6808510638297873,0.002341483617612084
XR_ELBOW,fine-tune,500,avg,0.8541751464693186,0.7231884057971015,0.8851063829787233,0.013453643592275587
XR_ELBOW,DANN,500,avg,0.6519580635214308,0.5362318840579711,0.5744680851063829,0.10620600124021748
XR_ELBOW,MMD,500,avg,0.7468578476719087,0.6318840579710145,0.6595744680851063,0.053997055596410125
