target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_FINGER,densenet121,zero-shot,0,0,0.7404082636497786,0.5141700404858299,0.8317757009345794,
XR_FINGER,densenet121,vanilla_ft,100,avg,0.8105364057159434,0.5735492577597842,0.8800623052959501,0.011296081177439628
XR_FINGER,densenet121,ft_source_reg,100,avg,0.8097575895165664,0.553306342780027,0.8707165109034268,0.015621558934018969
XR_FINGER,densenet121,vanilla_ft,500,avg,0.8254316596667802,0.6572199730094467,0.8457943925233645,0.009313730724066558
XR_FINGER,densenet121,ft_source_reg,500,avg,0.8267118190876183,0.6747638326585695,0.8489096573208723,0.006487003008794638
XR_FOREARM,densenet121,zero-shot,0,0,0.7585871964679912,0.5761589403973509,0.8666666666666667,
XR_FOREARM,densenet121,vanilla_ft,100,avg,0.8420676968359088,0.58719646799117,0.9377777777777778,0.03592915499215154
XR_FOREARM,densenet121,ft_source_reg,100,avg,0.8235835172921266,0.5452538631346578,0.9422222222222222,0.050736418394981705
XR_FOREARM,densenet121,vanilla_ft,500,avg,0.8604930095658573,0.6865342163355409,0.9311111111111111,0.014992048905521582
XR_FOREARM,densenet121,ft_source_reg,500,avg,0.8610743193524651,0.6710816777041942,0.9244444444444445,0.019887410017283533
XR_HUMERUS,densenet121,zero-shot,0,0,0.7966216216216215,0.6071428571428571,0.8716216216216216,
XR_HUMERUS,densenet121,vanilla_ft,100,avg,0.8760215572715574,0.7999999999999999,0.795045045045045,0.016069343017357643
XR_HUMERUS,densenet121,ft_source_reg,100,avg,0.8725305662805662,0.7904761904761904,0.8220720720720721,0.012351069334662006
XR_HUMERUS,densenet121,vanilla_ft,500,avg,0.8944337194337194,0.861904761904762,0.8063063063063063,0.013785954713997493
XR_HUMERUS,densenet121,ft_source_reg,500,avg,0.8933236808236807,0.8476190476190477,0.7995495495495496,0.012495438967855946
