target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_FINGER,resnet50,zero-shot,0,0,0.6727080101403761,0.41295546558704455,0.8691588785046729,
XR_FINGER,resnet50,vanilla_ft,100,avg,0.7539981333636031,0.5303643724696356,0.8582554517133957,0.042736299175254164
XR_FINGER,resnet50,ft_source_reg,100,avg,0.7759153455169195,0.5762483130904182,0.8302180685358257,0.020802420387324997
XR_FINGER,resnet50,vanilla_ft,500,avg,0.7976906680792565,0.6302294197031039,0.8504672897196262,0.01850635221714386
XR_FINGER,resnet50,ft_source_reg,500,avg,0.807020696961671,0.6437246963562753,0.838006230529595,0.014191893281523905
XR_FOREARM,resnet50,zero-shot,0,0,0.8210596026490067,0.5761589403973509,0.8866666666666667,
XR_FOREARM,resnet50,vanilla_ft,100,avg,0.8485871964679911,0.5231788079470199,0.9755555555555556,0.03363831359034494
XR_FOREARM,resnet50,ft_source_reg,100,avg,0.838859455481972,0.5629139072847682,0.9466666666666667,0.04897146327860641
XR_FOREARM,resnet50,vanilla_ft,500,avg,0.8768359087564385,0.673289183222958,0.9311111111111111,0.01471998859580983
XR_FOREARM,resnet50,ft_source_reg,500,avg,0.8759161147902871,0.7130242825607064,0.9177777777777778,0.01681174521657762
XR_HUMERUS,resnet50,zero-shot,0,0,0.8066361003861002,0.6285714285714286,0.8851351351351351,
XR_HUMERUS,resnet50,vanilla_ft,100,avg,0.8668436293436294,0.7142857142857143,0.8581081081081082,0.007603559872010566
XR_HUMERUS,resnet50,ft_source_reg,100,avg,0.8665942728442729,0.7523809523809524,0.8243243243243242,0.016939906174198122
XR_HUMERUS,resnet50,vanilla_ft,500,avg,0.904954954954955,0.8595238095238096,0.786036036036036,0.012913010341785214
XR_HUMERUS,resnet50,ft_source_reg,500,avg,0.8998954311454312,0.8595238095238096,0.7770270270270271,0.011859636771025394
