target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_FINGER,swin_t,zero-shot,0,0,0.8014113284649438,0.631578947368421,0.8411214953271028,
XR_FINGER,swin_t,vanilla_ft,100,avg,0.8087139127473609,0.573549257759784,0.8862928348909658,0.0050033917265037125
XR_FINGER,swin_t,ft_source_reg,100,avg,0.7946132405060098,0.6005398110661269,0.8613707165109034,0.006230025333598063
XR_FINGER,swin_t,vanilla_ft,500,avg,0.8012473671598119,0.5695006747638327,0.8676012461059189,0.015892077744901388
XR_FINGER,swin_t,ft_source_reg,500,avg,0.8105427119199868,0.6464237516869096,0.8161993769470405,0.01962818747548562
XR_FOREARM,swin_t,zero-shot,0,0,0.8954746136865341,0.7615894039735099,0.9066666666666666,
XR_FOREARM,swin_t,vanilla_ft,100,avg,0.8862178072111847,0.7373068432671083,0.8933333333333334,0.0037040659183175057
XR_FOREARM,swin_t,ft_source_reg,100,avg,0.8906107431935247,0.7152317880794702,0.9333333333333332,0.0061648673044935355
XR_FOREARM,swin_t,vanilla_ft,500,avg,0.8746063281824871,0.7240618101545254,0.9044444444444445,0.017108764340362573
XR_FOREARM,swin_t,ft_source_reg,500,avg,0.8686239882266373,0.609271523178808,0.9355555555555556,0.017682852575540843
XR_HUMERUS,swin_t,zero-shot,0,0,0.8170849420849422,0.8857142857142857,0.5135135135135135,
XR_HUMERUS,swin_t,vanilla_ft,100,avg,0.8481338481338482,0.7880952380952381,0.7747747747747749,0.012161369464405563
XR_HUMERUS,swin_t,ft_source_reg,100,avg,0.852759009009009,0.8047619047619049,0.75,0.002694166669723392
XR_HUMERUS,swin_t,vanilla_ft,500,avg,0.8636100386100386,0.8261904761904763,0.795045045045045,0.015921167793257304
XR_HUMERUS,swin_t,ft_source_reg,500,avg,0.8562258687258687,0.8023809523809523,0.8018018018018017,0.017613813551473262
