anatomy,n_samples,threshold,n_pseudo,coverage_pct,n_frac_pseudo,n_norm_pseudo,overall_acc,prec_fracture,rec_fracture,prec_normal,rec_normal
XR_ELBOW,50,0.75,39,78.0,20,19,0.6666666666666666,0.55,0.7333333333333333,0.7894736842105263,0.625
XR_ELBOW,50,0.75,41,82.0,25,16,0.8292682926829268,0.72,1.0,1.0,0.6956521739130435
XR_ELBOW,50,0.75,38,76.0,22,16,0.6842105263157895,0.6818181818181818,0.75,0.6875,0.6111111111111112
XR_ELBOW,100,0.75,79,79.0,45,34,0.6329113924050633,0.5777777777777777,0.7222222222222222,0.7058823529411765,0.5581395348837209
XR_ELBOW,100,0.75,81,81.0,47,34,0.7901234567901234,0.6595744680851063,0.96875,0.9705882352941176,0.673469387755102
XR_ELBOW,100,0.75,76,76.0,45,31,0.7105263157894737,0.6444444444444445,0.8285714285714286,0.8064516129032258,0.6097560975609756
XR_ELBOW,200,0.75,155,77.5,91,64,0.6516129032258065,0.5604395604395604,0.7846153846153846,0.78125,0.5555555555555556
XR_ELBOW,200,0.75,157,78.5,93,64,0.7006369426751592,0.5913978494623656,0.859375,0.859375,0.5913978494623656
XR_ELBOW,200,0.75,158,79.0,94,64,0.6392405063291139,0.5531914893617021,0.7761194029850746,0.765625,0.5384615384615384
XR_ELBOW,500,0.75,400,80.0,226,174,0.6675,0.584070796460177,0.7719298245614035,0.7758620689655172,0.5895196506550219
XR_ELBOW,500,0.75,395,79.0,232,163,0.6962025316455697,0.6077586206896551,0.8294117647058824,0.8220858895705522,0.5955555555555555
XR_ELBOW,500,0.75,399,79.8,229,170,0.6716791979949874,0.5589519650655022,0.810126582278481,0.8235294117647058,0.5809128630705395
XR_SHOULDER,50,0.75,32,64.0,6,26,0.78125,0.8333333333333334,0.45454545454545453,0.7692307692307693,0.9523809523809523
XR_SHOULDER,50,0.75,36,72.0,12,24,0.5833333333333334,0.5833333333333334,0.4117647058823529,0.5833333333333334,0.7368421052631579
XR_SHOULDER,50,0.75,41,82.0,8,33,0.5365853658536586,0.5,0.21052631578947367,0.5454545454545454,0.8181818181818182
XR_SHOULDER,100,0.75,68,68.0,17,51,0.6617647058823529,0.6470588235294118,0.39285714285714285,0.6666666666666666,0.85
XR_SHOULDER,100,0.75,70,70.0,20,50,0.6285714285714286,0.55,0.39285714285714285,0.66,0.7857142857142857
XR_SHOULDER,100,0.75,75,75.0,19,56,0.6,0.5263157894736842,0.3225806451612903,0.625,0.7954545454545454
XR_SHOULDER,200,0.75,136,68.0,33,103,0.6397058823529411,0.6363636363636364,0.3620689655172414,0.6407766990291263,0.8461538461538461
XR_SHOULDER,200,0.75,143,71.5,41,102,0.6363636363636364,0.7073170731707317,0.42028985507246375,0.6078431372549019,0.8378378378378378
XR_SHOULDER,200,0.75,152,76.0,47,105,0.5855263157894737,0.6170212765957447,0.3918918918918919,0.5714285714285714,0.7692307692307693
XR_SHOULDER,500,0.75,356,71.2,119,237,0.6320224719101124,0.6386554621848739,0.4634146341463415,0.6286919831223629,0.7760416666666666
XR_SHOULDER,500,0.75,361,72.2,112,249,0.6454293628808865,0.7142857142857143,0.45454545454545453,0.6144578313253012,0.827027027027027
XR_SHOULDER,500,0.75,375,75.0,125,250,0.616,0.64,0.44692737430167595,0.604,0.7704081632653061
XR_HAND,50,0.75,45,90.0,5,40,0.8,0.8,0.3333333333333333,0.8,0.9696969696969697
XR_HAND,50,0.75,43,86.0,4,39,0.7674418604651163,0.75,0.25,0.7692307692307693,0.967741935483871
XR_HAND,50,0.75,41,82.0,0,41,0.8780487804878049,0.0,0.0,0.8780487804878049,1.0
XR_HAND,100,0.75,92,92.0,7,85,0.782608695652174,0.7142857142857143,0.21739130434782608,0.788235294117647,0.9710144927536232
XR_HAND,100,0.75,87,87.0,11,76,0.7471264367816092,0.5454545454545454,0.2608695652173913,0.7763157894736842,0.921875
XR_HAND,100,0.75,88,88.0,5,83,0.8409090909090909,0.8,0.23529411764705882,0.8433734939759037,0.9859154929577465
XR_HAND,200,0.75,178,89.0,15,163,0.7752808988764045,0.6666666666666666,0.2222222222222222,0.7852760736196319,0.9624060150375939
XR_HAND,200,0.75,172,86.0,19,153,0.7790697674418605,0.631578947368421,0.27906976744186046,0.7973856209150327,0.9457364341085271
XR_HAND,200,0.75,174,87.0,14,160,0.8218390804597702,0.7857142857142857,0.28205128205128205,0.825,0.9777777777777777
XR_HAND,500,0.75,435,87.0,35,400,0.767816091954023,0.6571428571428571,0.20535714285714285,0.7775,0.9628482972136223
XR_HAND,500,0.75,429,85.8,39,390,0.7762237762237763,0.6666666666666666,0.23853211009174313,0.7871794871794872,0.959375
XR_HAND,500,0.75,430,86.0,34,396,0.7930232558139535,0.6764705882352942,0.22772277227722773,0.803030303030303,0.9665653495440729
