target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_SHOULDER,swin_t,zero-shot,0,0,0.5917139972232739,0.8992805755395683,0.12982456140350876,
XR_SHOULDER,swin_t,vanilla_ft,50,avg,0.6704657326770164,0.5251798561151079,0.7403508771929824,0.012489608306954218
XR_SHOULDER,swin_t,ft_source_reg,50,avg,0.6781627329715176,0.5431654676258993,0.7345029239766081,0.011086210223583045
XR_SHOULDER,swin_t,mkmmd,50,avg,0.6082186882073288,0.4196642685851319,0.7695906432748538,0.009812745945396049
XR_SHOULDER,swin_t,coral,50,avg,0.5671925617400816,0.7853717026378897,0.2690058479532164,0.010396508862583847
XR_SHOULDER,swin_t,cc_dann,50,avg,0.6065589633556313,0.07553956834532374,0.9812865497076023,0.010814959444026452
XR_SHOULDER,swin_t,vanilla_ft,100,avg,0.6855378854810888,0.5347721822541966,0.7461988304093569,0.0085602656151152
XR_SHOULDER,swin_t,ft_source_reg,100,avg,0.6824708654129329,0.5431654676258993,0.7263157894736842,0.008744671583103209
XR_SHOULDER,swin_t,mkmmd,100,avg,0.6508582607598132,0.42326139088729015,0.7625730994152047,0.018362644593823217
XR_SHOULDER,swin_t,coral,100,avg,0.6025095712903362,0.6043165467625898,0.560233918128655,0.012778023223134781
XR_SHOULDER,swin_t,cc_dann,100,avg,0.5873238251504059,0.8153477218225419,0.256140350877193,0.04226115730444267
XR_SHOULDER,swin_t,vanilla_ft,200,avg,0.6864340106861878,0.6390887290167866,0.6257309941520468,0.006350167833460552
XR_SHOULDER,swin_t,ft_source_reg,200,avg,0.6988872060246539,0.5887290167865707,0.7064327485380116,0.02519087579672338
XR_SHOULDER,swin_t,mkmmd,200,avg,0.6574719172030797,0.420863309352518,0.7976608187134503,0.00567381816566958
XR_SHOULDER,swin_t,coral,200,avg,0.5951617653245824,0.6822541966426859,0.4456140350877193,0.006481105964016668
XR_SHOULDER,swin_t,cc_dann,200,avg,0.5706824014472632,0.8561151079136691,0.1976608187134503,0.04566507287663295
XR_SHOULDER,swin_t,vanilla_ft,500,avg,0.7060583112457403,0.5911270983213429,0.704093567251462,0.014468252152265482
XR_SHOULDER,swin_t,ft_source_reg,500,avg,0.7028251083343852,0.5971223021582733,0.7146198830409357,0.014978358210876121
XR_SHOULDER,swin_t,mkmmd,500,avg,0.6455951028650765,0.5227817745803357,0.7134502923976608,0.012924409649905814
XR_SHOULDER,swin_t,coral,500,avg,0.6056796667928815,0.6007194244604316,0.5578947368421052,0.02859822275544882
XR_SHOULDER,swin_t,cc_dann,500,avg,0.5905927889267533,0.9604316546762591,0.06900584795321638,0.0056903717193947665
