anatomy,n_samples,threshold,n_pseudo,coverage_pct,n_frac_pseudo,n_norm_pseudo,overall_acc,prec_fracture,rec_fracture,prec_normal,rec_normal
XR_ELBOW,50,0.75,30,60.0,22,8,0.6333333333333333,0.5909090909090909,0.8666666666666667,0.75,0.4
XR_ELBOW,50,0.75,29,58.0,18,11,0.8275862068965517,0.7777777777777778,0.9333333333333333,0.9090909090909091,0.7142857142857143
XR_ELBOW,50,0.75,28,56.0,21,7,0.75,0.7619047619047619,0.8888888888888888,0.7142857142857143,0.5
XR_ELBOW,100,0.75,65,65.0,52,13,0.676923076923077,0.6538461538461539,0.918918918918919,0.7692307692307693,0.35714285714285715
XR_ELBOW,100,0.75,62,62.0,34,28,0.8387096774193549,0.7647058823529411,0.9285714285714286,0.9285714285714286,0.7647058823529411
XR_ELBOW,100,0.75,58,58.0,44,14,0.7413793103448276,0.7045454545454546,0.9393939393939394,0.8571428571428571,0.48
XR_ELBOW,200,0.75,128,64.0,91,37,0.7265625,0.6703296703296703,0.9242424242424242,0.8648648648648649,0.5161290322580645
XR_ELBOW,200,0.75,121,60.5,78,43,0.7024793388429752,0.6025641025641025,0.9038461538461539,0.8837209302325582,0.5507246376811594
XR_ELBOW,200,0.75,129,64.5,93,36,0.7131782945736435,0.6559139784946236,0.9242424242424242,0.8611111111111112,0.49206349206349204
XR_ELBOW,500,0.75,323,64.6,216,107,0.7368421052631579,0.6805555555555556,0.901840490797546,0.8504672897196262,0.56875
XR_ELBOW,500,0.75,303,60.6,204,99,0.7128712871287128,0.6421568627450981,0.903448275862069,0.8585858585858586,0.5379746835443038
XR_ELBOW,500,0.75,328,65.6,215,113,0.7225609756097561,0.6372093023255814,0.9133333333333333,0.8849557522123894,0.5617977528089888
XR_SHOULDER,50,0.75,44,88.0,41,3,0.4090909090909091,0.36585365853658536,1.0,1.0,0.10344827586206896
XR_SHOULDER,50,0.75,45,90.0,44,1,0.5111111111111111,0.5227272727272727,0.9583333333333334,0.0,0.0
XR_SHOULDER,50,0.75,42,84.0,39,3,0.5238095238095238,0.5128205128205128,0.9523809523809523,0.6666666666666666,0.09523809523809523
XR_SHOULDER,100,0.75,88,88.0,84,4,0.4318181818181818,0.4166666666666667,0.9722222222222222,0.75,0.057692307692307696
XR_SHOULDER,100,0.75,88,88.0,85,3,0.4772727272727273,0.47058823529411764,0.975609756097561,0.6666666666666666,0.0425531914893617
XR_SHOULDER,100,0.75,89,89.0,81,8,0.47191011235955055,0.4444444444444444,0.9473684210526315,0.75,0.11764705882352941
XR_SHOULDER,200,0.75,172,86.0,163,9,0.5116279069767442,0.49079754601226994,0.9876543209876543,0.8888888888888888,0.08791208791208792
XR_SHOULDER,200,0.75,174,87.0,164,10,0.5574712643678161,0.5548780487804879,0.9578947368421052,0.6,0.0759493670886076
XR_SHOULDER,200,0.75,170,85.0,161,9,0.5176470588235295,0.5031055900621118,0.9759036144578314,0.7777777777777778,0.08045977011494253
XR_SHOULDER,500,0.75,434,86.8,410,24,0.5368663594470046,0.5195121951219512,0.9815668202764977,0.8333333333333334,0.09216589861751152
XR_SHOULDER,500,0.75,423,84.6,405,18,0.5342789598108747,0.528395061728395,0.9727272727272728,0.6666666666666666,0.059113300492610835
XR_SHOULDER,500,0.75,437,87.4,420,17,0.517162471395881,0.5023809523809524,0.9906103286384976,0.8823529411764706,0.06696428571428571
XR_HAND,50,0.75,48,96.0,7,41,0.7916666666666666,0.7142857142857143,0.38461538461538464,0.8048780487804879,0.9428571428571428
XR_HAND,50,0.75,42,84.0,5,37,0.7142857142857143,0.4,0.18181818181818182,0.7567567567567568,0.9032258064516129
XR_HAND,50,0.75,44,88.0,1,43,0.8409090909090909,1.0,0.125,0.8372093023255814,1.0
XR_HAND,100,0.75,91,91.0,8,83,0.7802197802197802,0.625,0.22727272727272727,0.7951807228915663,0.9565217391304348
XR_HAND,100,0.75,80,80.0,9,71,0.725,0.4444444444444444,0.19047619047619047,0.7605633802816901,0.9152542372881356
XR_HAND,100,0.75,87,87.0,6,81,0.8390804597701149,0.8333333333333334,0.2777777777777778,0.8395061728395061,0.9855072463768116
XR_HAND,200,0.75,177,88.5,19,158,0.7853107344632768,0.7368421052631579,0.2978723404255319,0.7911392405063291,0.9615384615384616
XR_HAND,200,0.75,162,81.0,21,141,0.7901234567901234,0.5714285714285714,0.32432432432432434,0.8226950354609929,0.928
XR_HAND,200,0.75,170,85.0,15,155,0.8058823529411765,0.8,0.2857142857142857,0.8064516129032258,0.9765625
XR_HAND,500,0.75,423,84.6,48,375,0.7659574468085106,0.6458333333333334,0.2743362831858407,0.7813333333333333,0.9451612903225807
XR_HAND,500,0.75,420,84.0,48,372,0.7738095238095238,0.6041666666666666,0.2761904761904762,0.7956989247311828,0.9396825396825397
XR_HAND,500,0.75,419,83.8,42,377,0.7780429594272077,0.6666666666666666,0.2616822429906542,0.7904509283819628,0.9551282051282052
