arch,target,n_samples,best_method,best_auc
densenet121,XR_ELBOW,50,vanilla_ft,0.8321554116558744
densenet121,XR_ELBOW,100,ft_source_reg,0.8371446191797718
densenet121,XR_ELBOW,200,ft_source_reg,0.84300030835646
densenet121,XR_ELBOW,500,vanilla_ft,0.8782639531298181
densenet121,XR_SHOULDER,50,vanilla_ft,0.6665383482687534
densenet121,XR_SHOULDER,100,ft_source_reg,0.7191173377087804
densenet121,XR_SHOULDER,200,ft_source_reg,0.7064432664394799
densenet121,XR_SHOULDER,500,vanilla_ft,0.7691552021540663
densenet121,XR_HAND,50,cc_dann,0.7507044911718959
densenet121,XR_HAND,100,mkmmd,0.7418861490202202
densenet121,XR_HAND,200,vanilla_ft,0.7467508802072148
densenet121,XR_HAND,500,vanilla_ft,0.7884639163851954
resnet50,XR_ELBOW,50,cc_dann,0.8189115016959606
resnet50,XR_ELBOW,100,ft_source_reg,0.8414770274437249
resnet50,XR_ELBOW,200,ft_source_reg,0.8444557508479803
resnet50,XR_ELBOW,500,ft_source_reg,0.8679648473635524
resnet50,XR_SHOULDER,50,ft_source_reg,0.6692982456140353
resnet50,XR_SHOULDER,100,ft_source_reg,0.7227565316168119
resnet50,XR_SHOULDER,200,ft_source_reg,0.7453531911313055
resnet50,XR_SHOULDER,500,vanilla_ft,0.7807585510538937
resnet50,XR_HAND,50,ft_source_reg,0.6848662931073756
resnet50,XR_HAND,100,vanilla_ft,0.6748146846547831
resnet50,XR_HAND,200,vanilla_ft,0.7093168550733125
resnet50,XR_HAND,500,vanilla_ft,0.7471608843072558
swin_t,XR_ELBOW,50,ft_source_reg,0.8354270736971939
swin_t,XR_ELBOW,100,ft_source_reg,0.8486185630588962
swin_t,XR_ELBOW,200,ft_source_reg,0.8457786000616713
swin_t,XR_ELBOW,500,vanilla_ft,0.8551372186247302
swin_t,XR_SHOULDER,50,ft_source_reg,0.6781627329715176
swin_t,XR_SHOULDER,100,vanilla_ft,0.6855378854810888
swin_t,XR_SHOULDER,200,ft_source_reg,0.6988872060246539
swin_t,XR_SHOULDER,500,vanilla_ft,0.7060583112457403
swin_t,XR_HAND,50,coral,0.7271064774139805
swin_t,XR_HAND,100,coral,0.7252159029526802
swin_t,XR_HAND,200,coral,0.7338910690694208
swin_t,XR_HAND,500,coral,0.7310828663842194
