method,n_samples,auc,sensitivity,specificity
zero-shot,0,0.7600370027752081,0.8782608695652174,0.35319148936170214
fine-tune,50,0.8331544865864939,0.6695652173913044,0.8553191489361702
DANN,50,0.7587974098057354,0.7434782608695653,0.5829787234042553
MMD,50,0.8185568917668825,0.6478260869565218,0.8170212765957446
fine-tune,200,0.8593709528214616,0.7434782608695653,0.8425531914893617
DANN,200,0.771581868640148,0.7608695652173914,0.5872340425531914
MMD,200,0.8535245143385753,0.8173913043478261,0.7404255319148936
fine-tune,500,0.8580203515263645,0.717391304347826,0.8851063829787233
DANN,500,0.6693246993524515,0.7130434782608696,0.5319148936170213
MMD,500,0.8658649398704904,0.8260869565217391,0.7276595744680852
