seed,anatomy,auc,accuracy,sensitivity,specificity,ppv,npv,tp,tn,fp,fn
42,XR_WRIST,0.879078971875582,0.8254931714719271,0.7491525423728813,0.8873626373626373,0.8435114503816794,0.8136020151133502,221,323,41,74
42,XR_ELBOW,0.7600370027752081,0.6129032258064516,0.8782608695652174,0.35319148936170214,0.5706214689265536,0.7477477477477478,202,83,152,28
42,XR_HAND,0.7160233507096975,0.6739130434782609,0.2857142857142857,0.9446494464944649,0.782608695652174,0.6547314578005116,54,256,15,135
42,XR_SHOULDER,0.5470655054903446,0.5133214920071048,0.8741007194244604,0.16140350877192983,0.504149377593361,0.5679012345679012,243,46,239,35
42,XR_FINGER,0.7816602974005826,0.6811279826464208,0.6032388663967612,0.7710280373831776,0.7525252525252525,0.6273764258555133,149,165,49,98
123,XR_WRIST,0.8737707208046191,0.8239757207890743,0.6677966101694915,0.9505494505494505,0.9162790697674419,0.7792792792792793,197,346,18,98
123,XR_ELBOW,0.7061239592969473,0.6430107526881721,0.6086956521739131,0.676595744680851,0.6481481481481481,0.6385542168674698,140,159,76,90
123,XR_HAND,0.7132118940237021,0.6326086956521739,0.12698412698412698,0.985239852398524,0.8571428571428571,0.6180555555555556,24,267,4,165
123,XR_SHOULDER,0.5745929572131768,0.5293072824156305,0.6294964028776978,0.43157894736842106,0.5192878338278932,0.5442477876106194,175,123,162,103
123,XR_FINGER,0.7622687199667032,0.4945770065075922,0.08906882591093117,0.9626168224299065,0.7333333333333333,0.4779582366589327,22,206,8,225
456,XR_WRIST,0.8584559508288322,0.7511380880121397,0.8271186440677966,0.6895604395604396,0.6834733893557423,0.8311258278145696,244,251,113,51
456,XR_ELBOW,0.7758186864014801,0.610752688172043,0.9260869565217391,0.3021276595744681,0.5649867374005305,0.8068181818181818,213,71,164,17
456,XR_HAND,0.6971631621078115,0.6413043478260869,0.708994708994709,0.5940959409594095,0.5491803278688525,0.7453703703703703,134,161,110,55
456,XR_SHOULDER,0.5980373595860154,0.49733570159857904,0.9532374100719424,0.05263157894736842,0.4953271028037383,0.5357142857142857,265,15,270,13
456,XR_FINGER,0.6413031140035568,0.5856832971800434,0.7773279352226721,0.3644859813084112,0.5853658536585366,0.5864661654135338,192,78,136,55
789,XR_WRIST,0.8826690258893649,0.8254931714719271,0.7084745762711865,0.9203296703296703,0.8781512605042017,0.7957244655581948,209,335,29,86
789,XR_ELBOW,0.7385106382978723,0.6602150537634408,0.717391304347826,0.6042553191489362,0.6395348837209303,0.6859903381642513,165,142,93,65
789,XR_HAND,0.6882211679259649,0.6608695652173913,0.2962962962962963,0.915129151291513,0.7088607594936709,0.6509186351706037,56,248,23,133
789,XR_SHOULDER,0.6030417771046321,0.5523978685612788,0.802158273381295,0.3087719298245614,0.530952380952381,0.6153846153846154,223,88,197,55
789,XR_FINGER,0.7576525786068333,0.6681127982646421,0.5303643724696356,0.8271028037383178,0.7797619047619048,0.6040955631399317,131,177,37,116
2024,XR_WRIST,0.8652914881728441,0.8270106221547799,0.7559322033898305,0.8846153846153846,0.8415094339622642,0.817258883248731,223,322,42,72
2024,XR_ELBOW,0.7541165587419056,0.6860215053763441,0.691304347826087,0.6808510638297872,0.6794871794871795,0.6926406926406926,159,160,75,71
2024,XR_HAND,0.7158476346668228,0.6521739130434783,0.20634920634920634,0.9630996309963099,0.7959183673469388,0.635036496350365,39,261,10,150
2024,XR_SHOULDER,0.5763725861416131,0.5435168738898757,0.6438848920863309,0.4456140350877193,0.5311572700296736,0.5619469026548672,179,127,158,99
2024,XR_FINGER,0.8005789095311967,0.6789587852494577,0.44534412955465585,0.9485981308411215,0.9090909090909091,0.5970588235294118,110,203,11,137
