anatomy,threshold,sensitivity,specificity,ppv,npv,fn_count,fp_count
XR_WRIST,0.3,0.7661016949152543,0.8291208791208792,0.7841776544066621,0.813915857605178,345,311
XR_WRIST,0.5,0.7416949152542373,0.8664835164835165,0.818249813014211,0.8054136874361594,381,243
XR_WRIST,0.7,0.7030508474576271,0.8895604395604395,0.8376413570274637,0.7870685464268352,438,201
XR_ELBOW,0.3,0.8173913043478261,0.44680851063829785,0.5911949685534591,0.7142857142857143,210,650
XR_ELBOW,0.5,0.7643478260869565,0.5234042553191489,0.6108408617095205,0.6941309255079007,271,560
XR_ELBOW,0.7,0.7208695652173913,0.5991489361702128,0.6376923076923077,0.686829268292683,321,471
XR_HAND,0.3,0.38412698412698415,0.8413284132841329,0.6280276816608996,0.662020905923345,582,215
XR_HAND,0.5,0.32486772486772486,0.8804428044280442,0.6545842217484008,0.6515565264882578,638,162
XR_HAND,0.7,0.27724867724867724,0.9092250922509225,0.6805194805194805,0.6433420365535248,683,123
XR_SHOULDER,0.3,0.8294964028776979,0.21263157894736842,0.5068131868131868,0.5611111111111111,237,1122
XR_SHOULDER,0.5,0.7805755395683454,0.28,0.5139744197063003,0.5667613636363636,305,1026
XR_SHOULDER,0.7,0.7172661870503597,0.3663157894736842,0.5247368421052632,0.5704918032786885,393,903
XR_FINGER,0.3,0.5554655870445344,0.7345794392523365,0.7072164948453609,0.5887640449438202,549,284
XR_FINGER,0.5,0.48906882591093115,0.7747663551401869,0.714792899408284,0.5678082191780822,631,241
XR_FINGER,0.7,0.4234817813765182,0.814018691588785,0.724376731301939,0.5502210991787745,712,199
