anatomy,n_samples,run,auc,accuracy,sensitivity,specificity
XR_ELBOW,0,0,0.7600370027752081,0.6129032258064516,0.8782608695652174,0.35319148936170214
XR_ELBOW,10,0,0.7343848288621646,0.6258064516129033,0.7608695652173914,0.49361702127659574
XR_ELBOW,10,1,0.7693617021276596,0.7010752688172043,0.7434782608695653,0.6595744680851063
XR_ELBOW,10,2,0.7472710453283996,0.6279569892473118,0.7956521739130434,0.46382978723404256
XR_ELBOW,25,0,0.80477335800185,0.7290322580645161,0.7391304347826086,0.7191489361702128
XR_ELBOW,25,1,0.7738760407030526,0.6623655913978495,0.4217391304347826,0.8978723404255319
XR_ELBOW,25,2,0.7627937095282147,0.6838709677419355,0.6086956521739131,0.7574468085106383
XR_ELBOW,50,0,0.8140333024976875,0.7634408602150538,0.6478260869565218,0.8765957446808511
XR_ELBOW,50,1,0.8251341350601296,0.7268817204301076,0.5478260869565217,0.902127659574468
XR_ELBOW,50,2,0.7986586493987049,0.7032258064516129,0.7260869565217392,0.6808510638297872
XR_ELBOW,75,0,0.8361887141535614,0.7612903225806451,0.7043478260869566,0.8170212765957446
XR_ELBOW,75,1,0.8292599444958372,0.7720430107526882,0.7043478260869566,0.8382978723404255
XR_ELBOW,75,2,0.8145235892691952,0.7569892473118279,0.6391304347826087,0.8723404255319149
XR_ELBOW,100,0,0.8107493061979649,0.7204301075268817,0.6956521739130435,0.7446808510638298
XR_ELBOW,100,1,0.8227197039777984,0.7612903225806451,0.7434782608695653,0.7787234042553192
XR_ELBOW,100,2,0.837604070305273,0.7827956989247312,0.7217391304347827,0.8425531914893617
XR_ELBOW,150,0,0.8169842738205365,0.7397849462365591,0.7217391304347827,0.7574468085106383
XR_ELBOW,150,1,0.8338020351526365,0.7526881720430108,0.717391304347826,0.7872340425531915
XR_ELBOW,150,2,0.8396392229417207,0.7655913978494624,0.6739130434782609,0.8553191489361702
XR_ELBOW,200,0,0.8474930619796486,0.7870967741935484,0.7217391304347827,0.851063829787234
XR_ELBOW,200,1,0.8431267345050879,0.7591397849462366,0.7130434782608696,0.8042553191489362
XR_ELBOW,200,2,0.8149491211840889,0.7483870967741936,0.6260869565217392,0.8680851063829788
XR_ELBOW,500,0,0.8617761332099908,0.7763440860215054,0.7,0.851063829787234
XR_ELBOW,500,1,0.8543848288621648,0.7978494623655914,0.7652173913043478,0.8297872340425532
XR_ELBOW,500,2,0.8635985198889917,0.7913978494623656,0.6956521739130435,0.8851063829787233
XR_HAND,0,0,0.7160233507096975,0.6739130434782609,0.2857142857142857,0.9446494464944649
XR_HAND,10,0,0.7008922470177082,0.6369565217391304,0.15873015873015872,0.9704797047970479
XR_HAND,10,1,0.6856439992971357,0.6695652173913044,0.36507936507936506,0.8819188191881919
XR_HAND,10,2,0.6687947831859271,0.6608695652173913,0.2751322751322751,0.9298892988929889
XR_HAND,25,0,0.6361115992112302,0.6413043478260869,0.2698412698412698,0.9003690036900369
XR_HAND,25,1,0.6703957515765633,0.6673913043478261,0.3968253968253968,0.8560885608856088
XR_HAND,25,2,0.7038989437513422,0.6543478260869565,0.582010582010582,0.7047970479704797
XR_HAND,50,0,0.651730803022316,0.6434782608695652,0.328042328042328,0.8634686346863468
XR_HAND,50,1,0.6564360881704054,0.658695652173913,0.32275132275132273,0.8929889298892989
XR_HAND,50,2,0.6739491204435853,0.6413043478260869,0.48677248677248675,0.7490774907749077
XR_HAND,75,0,0.6881625959116733,0.6717391304347826,0.38095238095238093,0.8745387453874539
XR_HAND,75,1,0.7008922470177084,0.7021739130434783,0.4126984126984127,0.9040590405904059
XR_HAND,75,2,0.6686190671430524,0.6456521739130435,0.47619047619047616,0.7638376383763837
XR_HAND,100,0,0.6722895800386577,0.6804347826086956,0.3544973544973545,0.9077490774907749
XR_HAND,100,1,0.710068529256721,0.6782608695652174,0.37566137566137564,0.8892988929889298
XR_HAND,100,2,0.6717429079052696,0.6717391304347826,0.455026455026455,0.8228782287822878
XR_HAND,150,0,0.6644604541283508,0.6739130434782609,0.3968253968253968,0.8671586715867159
XR_HAND,150,1,0.695191237626662,0.6608695652173913,0.3439153439153439,0.8819188191881919
XR_HAND,150,2,0.6697319354145923,0.6608695652173913,0.328042328042328,0.8929889298892989
XR_HAND,200,0,0.6707471836623128,0.6413043478260869,0.30687830687830686,0.8745387453874539
XR_HAND,200,1,0.701634159198735,0.6891304347826087,0.3439153439153439,0.9298892988929889
XR_HAND,200,2,0.7041918038228001,0.6847826086956522,0.35978835978835977,0.9114391143911439
XR_HAND,500,0,0.7049532400085905,0.6717391304347826,0.37566137566137564,0.8782287822878229
XR_HAND,500,1,0.7455631699174134,0.6956521739130435,0.43915343915343913,0.8745387453874539
XR_HAND,500,2,0.7326578027685039,0.691304347826087,0.42328042328042326,0.8782287822878229
XR_SHOULDER,0,0,0.5470655054903446,0.5133214920071048,0.8741007194244604,0.16140350877192983
XR_SHOULDER,10,0,0.5964786065884135,0.5310834813499112,0.8633093525179856,0.20701754385964913
XR_SHOULDER,10,1,0.5371576423072069,0.5150976909413855,0.6906474820143885,0.34385964912280703
XR_SHOULDER,10,2,0.5380916319575919,0.5062166962699822,0.8129496402877698,0.20701754385964913
XR_SHOULDER,25,0,0.5965985106651521,0.5470692717584369,0.8489208633093526,0.25263157894736843
XR_SHOULDER,25,1,0.613189448441247,0.5772646536412078,0.579136690647482,0.5754385964912281
XR_SHOULDER,25,2,0.6374479363877319,0.5737122557726465,0.7841726618705036,0.3684210526315789
